Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"1,29,990",Lenovo,32GB,1024.0,Grey,AMD,,4.0
"63,800",Lenovo,,512.0,Grey,Intel,Windows,3.8
"1,09,939",Lenovo,16GB,512.0,Grey,Intel,Windows,4.7
"79,990",Acer,32GB,1024.0,,AMD,Windows,3.0
"1,59,990",HP,8GB,1024.0,Black,Intel,Windows,4.5
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"4,40,999",acer,DDR7,,Black,Intel,Windows,3.2
"1,99,990",ASUS,8GB,,Gray,Intel,Windows,4.0
"1,29,990",Lenovo,32GB,1024.0,Grey,Intel,Windows,4.8
"38,999",HP,8GB,256.0,Silver,AMD,Windows,2.1
"78,990",HP,4GB,1024.0,Silver,Intel,Windows,4.0
"49,990",acer,,,Gray,Intel,Windows,4.3
"78,800",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,89,850",Lenovo,8GB,1024.0,Grey,Intel,Windows,4.1
"73,990",HP,16GB,512.0,Silver,Snapdragon,Windows,3.0
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"74,990",HP,16GB,1024.0,Silver,Intel,Windows,3.8
"70,550",HP,,512.0,Silver,Intel,Windows,1.5
"61,890",ASUS,16GB,512.0,Silver,Intel,,4.0
"1,99,990",ASUS,8GB,,Gray,Intel,Windows,4.0
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"76,990",HP,16GB,1024.0,Silver,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"51,990",HP,8GB,512.0,Silver,Intel,Windows,4.1
,More,,,,,,
"49,990",acer,RAM,512.0,Gray,Intel,Windows,4.1
"79,990",Acer,32GB,1024.0,,AMD,Windows,3.0
"49,890",Lenovo,8GB,512.0,Grey,AMD,Windows,3.9
"55,990",HP,,512.0,Silver,Intel,Windows,1.0
"90,990",acer,8GB,,Black,Intel,Windows,3.2
